Longitude,Call_Time,Status,Call_ID,Phone,Call_Date,Latitude,Description,Type_ID
34.724198,0:07,Open,1,508122765,2025-01-03,33,"",1
34.810171,11:46,Closed,2,509624778,2024-04-27,31,Nullam varius.,2
34.986037,0:00,InProgress,3,502870431,2024-09-23,31,Etiam justo.,3
35.433671,0:41,Closed,4,505285252,2025-02-19,32,"",6
34.575446,5:19,Open,5,501339852,2024-09-25,32,"",1
34.676657,10:08,Closed,6,506445063,2024-03-31,31,"",3
35.219178,0:44,Closed,7,503026351,2025-11-05,33,"",5
35.443513,23:14,Closed,8,509720865,2026-01-27,31,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",5
34.685638,21:33,InProgress,9,506105610,2024-10-21,31,"",2
34.606036,12:01,Closed,10,507839384,2024-01-20,32,Phasellus id sapien in sapien iaculis congue.,4
35.013115,15:20,InProgress,11,500343193,2026-02-16,31,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",1
35.142817,11:42,InProgress,12,503464780,2025-04-09,33,Aliquam non mauris.,5
34.596014,10:40,Open,13,506342693,2025-10-31,31,"",6
35.315817,18:10,Open,14,503202706,2025-01-23,33,Donec dapibus.,5
35.309823,3:27,Open,15,507184910,2025-08-28,33,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",4
35.125479,11:53,Closed,16,509187564,2024-07-01,32,Morbi vel lectus in quam fringilla rhoncus.,3
34.918958,8:33,Closed,17,501131208,2024-11-03,31,Sed vel enim sit amet nunc viverra dapibus.,3
35.10142,21:29,Closed,18,504491628,2024-12-24,33,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",2
35.038199,15:53,InProgress,19,501634058,2024-02-23,31,Quisque id justo sit amet sapien dignissim vestibulum.,4
35.169648,16:04,Open,20,502764047,2024-09-26,32,Mauris sit amet eros.,2
34.717709,2:59,Open,21,504441602,2025-04-03,33,"",5
34.757837,15:08,Closed,22,509743472,2025-10-14,33,Duis mattis egestas metus.,5
35.018394,17:15,Open,23,505804114,2024-10-17,33,"",6
34.995579,5:22,InProgress,24,507373541,2024-04-27,31,"",3
34.943425,20:22,Open,25,503604177,2024-02-22,32,Curabitur in libero ut massa volutpat convallis.,6
35.049194,6:58,InProgress,26,503961615,2025-06-02,32,Ut at dolor quis odio consequat varius.,1
35.223224,17:28,Open,27,504377732,2025-01-30,31,"",4
35.327986,6:59,InProgress,28,506723819,2025-01-02,31,Vestibulum ac est lacinia nisi venenatis tristique.,4
34.765973,7:22,InProgress,29,509450216,2025-05-06,31,"",5
34.981284,21:49,InProgress,30,505656522,2025-04-26,32,In eleifend quam a odio.,4
34.523038,19:48,Open,31,502773890,2024-05-12,33,"",1
35.015508,4:48,InProgress,32,508554448,2025-05-12,31,Pellentesque at nulla.,4
34.848186,9:00,Closed,33,509736641,2025-02-03,31,Nunc purus.,6
35.407274,12:21,Closed,34,504908509,2025-03-31,31,Aliquam non mauris.,5
34.994515,9:49,Closed,35,508451112,2025-01-08,33,"",2
35.233071,15:00,Closed,36,507965621,2026-02-02,32,Suspendisse potenti.,5
35.11859,10:56,InProgress,37,508629956,2025-05-13,32,"",2
34.785254,16:21,InProgress,38,509380393,2025-03-20,32,"",3
35.128013,5:56,Open,39,506044458,2026-03-03,33,"",1
35.206193,9:47,Open,40,506395221,2026-02-11,31,Ut tellus.,3
35.179548,22:46,InProgress,41,504414979,2025-01-09,33,Mauris ullamcorper purus sit amet nulla.,2
35.062962,17:36,InProgress,42,501689811,2024-06-10,31,"",5
35.065398,10:11,Closed,43,500204989,2024-12-14,33,"",4
35.463126,20:31,Closed,44,507438853,2025-04-16,33,"",6
35.100593,17:03,Closed,45,504817741,2026-02-20,32,Sed accumsan felis.,2
34.610919,15:56,InProgress,46,502698110,2024-06-27,33,Curabitur convallis.,4
34.85256,18:35,InProgress,47,504302096,2026-04-15,32,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",6
35.388811,15:51,InProgress,48,502109765,2024-01-28,32,Nunc rhoncus dui vel sem.,6
34.978653,20:26,Closed,49,504889626,2024-10-15,31,Duis aliquam convallis nunc.,4
34.929713,21:57,Open,50,501421277,2025-05-07,32,"",1
34.571056,23:17,Closed,51,500973651,2024-12-12,31,Duis aliquam convallis nunc.,1
35.1155,21:26,InProgress,52,509355037,2026-03-04,32,Nulla tempus.,4
35.380735,11:25,Closed,53,507485890,2024-01-11,32,In blandit ultrices enim.,1
35.038325,10:23,Closed,54,506351413,2026-02-11,32,"",5
34.61756,1:11,InProgress,55,508337183,2024-05-14,32,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",3
34.717484,23:11,Open,56,508222425,2026-01-09,33,"",3
34.574882,7:14,Closed,57,501423625,2024-03-03,31,"",1
34.934775,6:43,Open,58,507411329,2024-01-18,31,"",4
34.518794,20:30,Closed,59,507274857,2024-06-07,31,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",4
34.971197,8:12,InProgress,60,500481231,2025-05-22,32,"",1
34.739249,0:51,Open,61,501077369,2024-01-23,31,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",1
35.041037,6:58,InProgress,62,504242322,2025-03-25,32,"",3
34.928312,23:14,Open,63,502909540,2025-08-25,33,"",1
34.542555,10:26,Closed,64,506201846,2026-02-05,33,"",1
34.634189,9:30,InProgress,65,505212467,2024-03-30,31,"",6
34.990749,2:35,InProgress,66,508917417,2025-07-02,32,Nulla justo.,4
35.303999,9:54,InProgress,67,505146571,2025-03-01,32,"",4
34.506503,9:19,InProgress,68,504699023,2025-04-26,33,"",4
35.41348,21:29,InProgress,69,500894401,2025-02-01,33,"",6
34.605704,0:23,InProgress,70,504476930,2026-02-21,32,Duis consequat dui nec nisi volutpat eleifend.,4
34.633061,4:17,Open,71,504069331,2026-03-19,33,In congue.,4
35.172545,22:19,InProgress,72,509070097,2024-03-24,31,Nunc purus.,5
35.204204,19:12,Open,73,507626900,2026-02-11,33,Curabitur at ipsum ac tellus semper interdum.,2
35.475415,5:51,InProgress,74,501285259,2025-11-24,31,Vivamus vestibulum sagittis sapien.,3
34.875041,17:02,InProgress,75,502726241,2025-08-24,33,"",6
35.010201,13:28,InProgress,76,503179107,2024-06-02,32,"",4
34.524175,22:38,InProgress,77,504531640,2024-10-07,32,"",2
35.034015,9:44,InProgress,78,507549119,2024-11-29,33,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",6
34.664029,23:08,Open,79,505592799,2024-01-30,32,"",1
35.069172,10:49,Open,80,502769447,2025-12-31,33,Integer non velit.,3
35.107933,1:37,Open,81,503355076,2024-01-06,31,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",3
35.151855,3:47,Open,82,503344103,2024-09-11,31,"",3
35.226024,23:35,Open,83,504135674,2024-01-30,32,Nam dui.,3
34.970277,6:08,Closed,84,506660366,2024-04-04,32,In sagittis dui vel nisl.,6
34.844439,1:05,InProgress,85,502253572,2026-03-21,33,Nulla justo.,4
34.820891,6:59,Open,86,506393647,2024-11-10,33,Integer a nibh.,6
34.579368,10:11,InProgress,87,506513263,2024-07-12,32,"",1
35.023269,19:13,Closed,88,504065442,2025-05-18,32,"",5
35.253603,19:13,InProgress,89,501358665,2024-10-16,33,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",6
34.924712,15:26,Open,90,501608217,2024-09-15,31,Nulla mollis molestie lorem.,4
35.109746,2:53,InProgress,91,500365698,2024-08-23,33,Cras in purus eu magna vulputate luctus.,2
34.974924,3:26,InProgress,92,500891121,2025-06-13,31,Donec vitae nisi.,1
34.90672,3:47,Open,93,506742644,2024-12-15,32,"",4
35.300752,8:05,InProgress,94,509691430,2025-07-05,31,Aliquam sit amet diam in magna bibendum imperdiet.,1
34.914633,9:34,Closed,95,505487301,2025-06-13,31,"",6
34.709984,16:59,Closed,96,504248309,2024-11-03,31,Pellentesque ultrices mattis odio.,2
35.201331,15:59,Open,97,507581648,2024-07-25,31,Pellentesque ultrices mattis odio.,2
35.077841,2:15,Open,98,502469503,2025-08-19,32,"",4
34.734431,12:14,InProgress,99,501418380,2026-03-08,32,"",1
35.471349,10:45,Open,100,500623256,2024-02-11,31,"",4
35.402563,22:05,InProgress,101,509931729,2024-02-19,32,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",1
35.487804,21:34,Open,102,502122345,2025-11-30,33,"",3
34.805689,12:39,InProgress,103,504463733,2025-03-11,33,"",2
35.400935,11:07,InProgress,104,507815607,2025-08-22,31,"",6
34.65384,19:16,InProgress,105,504875572,2025-11-18,33,"",2
34.683858,21:56,Closed,106,508944276,2025-04-04,33,Sed vel enim sit amet nunc viverra dapibus.,2
